id,title,author,publisher,cover_url,description,published_year,genres
b1,Establish election,Jason Mays,Reed Ltd Press,https://picsum.photos/seed/book_b1/300/450,"Skill among organization show. Might former purpose face whatever. Right sign claim base least.
Radio mind table dark. Through offer in might.",1997,"[""Historical Fiction"", ""Drama"", ""Fantasy""]"
b2,Watch need court,Daniel Cooper,Boyer-Jones Press,https://picsum.photos/seed/book_b2/300/450,"Name party any. Property child executive produce simple care.
Crime stage old language lay center operation town.
Between indicate thing both through far.",2018,"[""Thriller"", ""Eco-Fiction"", ""Fantasy""]"
b3,Indicate hit time,Erin Lee,"Bradley, Nelson and Smith Press",https://picsum.photos/seed/book_b3/300/450,"Sound dream public car beat but.
Respond step they including step history second. Dark indicate somebody information try star.
Ground animal federal movement time money machine.",2009,"[""Cyberpunk""]"
b4,Study war plan about,Alice Perry,Mcguire-Hall Press,https://picsum.photos/seed/book_b4/300/450,"How finish director human. Sell free mother two. Authority nation site seven.
Attorney argue attorney challenge. Research as writer bring. Arm realize move although.",2017,"[""Non-Fiction""]"
b5,Fear art,Jason Mays,Ramirez Inc Press,https://picsum.photos/seed/book_b5/300/450,International reveal say traditional. Since knowledge treat view above close identify. Successful discussion nice left notice.,2005,"[""Eco-Fiction"", ""Thriller"", ""Mystery""]"
b6,Fact image,Vanessa Richardson,Henderson-Ramirez Press,https://picsum.photos/seed/book_b6/300/450,Coach large kitchen necessary. Reduce nor herself create. Fine air save page south.,1998,"[""Travel""]"
b7,Billion mission mouth indeed,Martin Williams,"Vaughn, Ross and Stephens Press",https://picsum.photos/seed/book_b7/300/450,Site heart ok religious tell. Thing poor Mr senior over out camera. Next capital believe executive.,2008,"[""Humor"", ""Eco-Fiction"", ""Horror""]"
b8,Former rock them focus might,James Rowe,"Waters, Norman and Sherman Press",https://picsum.photos/seed/book_b8/300/450,"Security short thus court same.
Buy none woman create street rise doctor. Box message behind the become attorney girl. Sort tell president.",2004,"[""Mystery"", ""Thriller""]"
b9,Here weight dog,Juan Owens,Bailey Inc Press,https://picsum.photos/seed/book_b9/300/450,Management it never draw important relationship leg science. What address TV hard door interesting. Wide care baby city degree over.,2022,"[""Cyberpunk"", ""Horror"", ""Thriller""]"
b10,Else challenge training,Kelsey Smith,Rivera PLC Press,https://picsum.photos/seed/book_b10/300/450,Hospital employee already believe. Large ok maybe surface kitchen member. Tell director later clearly fly senior write often.,2002,"[""Non-Fiction""]"
